,Product Name,Product URL,Tags
30,Floral Print Kanjivaram Pure Silk Saree,https://www.flipkart.com/waanmayi-floral-print-kanjivaram-pure-silk-saree/p/itm0ec28cddbde45?pid=SARGC2EKZECHFSH7&lid=LSTSARGC2EKZECHFSH7FCVIQN&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_121&otracker=browse&fm=organic&iid=en_S0%2BF4oCAzAjSIFPj%2FIVn2vK2f1kY61x97j6%2Fg%2BwtT8vrgnF6%2BPiyL27CJfkuI4S6YMelBuN5MPY%2BADZ3jGgH3g%3D%3D&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"floral,print,kanjivaram,pure,silk,saree"
31,Embroidered Bollywood Net Saree,https://www.flipkart.com/rajvastra-fashion-embroidered-bollywood-net-saree/p/itmb3667994dc914?pid=SARGKY3BMG5BHZSA&lid=LSTSARGKY3BMG5BHZSAED6C7E&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_125&otracker=browse&fm=organic&iid=7672658c-11f5-4d60-84aa-0718ee8b9a1d.SARGKY3BMG5BHZSA.SEARCH&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"embroidered,bollywood,net,saree"
32,Embellished Daily Wear Lycra Blend Saree,https://www.flipkart.com/parmila-fashion-embellished-daily-wear-lycra-blend-saree/p/itm0fc69df8babb5?pid=SARGFM5XVFQCZ2A8&lid=LSTSARGFM5XVFQCZ2A8QZ3GIQ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_129&otracker=browse&fm=organic&iid=7672658c-11f5-4d60-84aa-0718ee8b9a1d.SARGFM5XVFQCZ2A8.SEARCH&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"embellished,daily,wear,lycra,blend,saree"
33,Striped Bollywood Satin Saree,https://www.flipkart.com/anand-sarees-striped-bollywood-satin-saree/p/itm11793185e5a7b?pid=SARGMMD9N9WZQY8R&lid=LSTSARGMMD9N9WZQY8RLHGTOO&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_133&otracker=browse&fm=organic&iid=7672658c-11f5-4d60-84aa-0718ee8b9a1d.SARGMMD9N9WZQY8R.SEARCH&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"striped,bollywood,satin,saree"
34,Solid/Plain Daily Wear Georgette Saree,https://www.flipkart.com/homedeal-solid-plain-daily-wear-georgette-saree/p/itm7eacd490694ba?pid=SARGZSAMPVXYBFBG&lid=LSTSARGZSAMPVXYBFBGOIDH1O&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_137&otracker=browse&fm=organic&iid=en_S0%2BF4oCAzAjSIFPj%2FIVn2vK2f1kY61x97j6%2Fg%2BwtT8v0cVcJLvJgV07CDNch7LnaVHpAAZ9CubWqCr4vHZAjJw%3D%3D&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"solidplain,daily,wear,georgette,saree"
35,Woven Kanjivaram Jacquard Saree,https://www.flipkart.com/aadvika-woven-kanjivaram-jacquard-saree/p/itm3b96ac04b4abe?pid=SARGKBBVYKCZQAHY&lid=LSTSARGKBBVYKCZQAHYLXKRAA&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_141&otracker=browse&fm=organic&iid=en_S0%2BF4oCAzAjSIFPj%2FIVn2vK2f1kY61x97j6%2Fg%2BwtT8sXD0qgh5ruzPpLKKxF2aC6qx%2B1T5hV6FA3V6qI2nTnYA%3D%3D&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"woven,kanjivaram,jacquard,saree"
36,Printed Daily Wear Georgette Saree,https://www.flipkart.com/kashvi-sarees-printed-daily-wear-georgette-saree/p/itm9be54de8aaf65?pid=SARFVPRYVZKCM3DF&lid=LSTSARFVPRYVZKCM3DF5VDSTK&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_145&otracker=browse&fm=organic&iid=7672658c-11f5-4d60-84aa-0718ee8b9a1d.SARFVPRYVZKCM3DF.SEARCH&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"printed,daily,wear,georgette,saree"
37,"Embroidered, Woven Daily Wear Georgette Saree",https://www.flipkart.com/matruchhaya-embroidered-woven-daily-wear-georgette-saree/p/itm331ed93514e88?pid=SARGMBDMGYAKXG2C&lid=LSTSARGMBDMGYAKXG2CON3THF&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_149&otracker=browse&fm=organic&iid=7672658c-11f5-4d60-84aa-0718ee8b9a1d.SARGMBDMGYAKXG2C.SEARCH&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"embroidered,woven,daily,wear,georgette,saree"
38,Floral Print Bollywood Lycra Blend Saree,https://www.flipkart.com/ejoty-fashion-floral-print-bollywood-lycra-blend-saree/p/itm4ee2d33e41d08?pid=SARFZP5Y3Q6UNJQS&lid=LSTSARFZP5Y3Q6UNJQS7ENJ58&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_153&otracker=browse&fm=organic&iid=7672658c-11f5-4d60-84aa-0718ee8b9a1d.SARFZP5Y3Q6UNJQS.SEARCH&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"floral,print,bollywood,lycra,blend,saree"
39,Floral Print Banarasi Silk Blend Saree,https://www.flipkart.com/ishika-fab-floral-print-banarasi-silk-blend-saree/p/itmffe256161a42e?pid=SARGZT8CT8HCUQAV&lid=LSTSARGZT8CT8HCUQAVPMUFLW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_4_157&otracker=browse&fm=organic&iid=en_S0%2BF4oCAzAjSIFPj%2FIVn2vK2f1kY61x97j6%2Fg%2BwtT8s6qxiC9c%2FfbNinWbl3jMWCYs%2BKKPdTNE8YWxS1lAVd3Q%3D%3D&ppt=None&ppn=None&ssid=ya1vgb9bs00000001684822725911,"floral,print,banarasi,silk,blend,saree"
